POC,Ftype,QP,PSNR-Y,PSNR-U,PSNR-V,Bits,EncT(ms)
151,(B),41,33.4682,40.6394,40.3981,192,13
153,(B),41,33.6821,40.6,40.5045,176,9
155,(B),41,33.3878,40.6416,40.4902,176,9
157,(B),41,33.9089,40.5483,40.4732,192,9
159,(B),41,33.2422,40.3623,40.5952,272,10
176,(B),33,33.5102,38.9756,39.7925,7192,38
168,(B),35,33.3685,40.4221,40.422,1936,26
164,(B),38,33.4556,40.54,40.5653,512,16
172,(B),38,32.186,40.0129,40.3407,1232,22
162,(B),40,33.4273,40.4224,40.5948,312,12
166,(B),40,32.6385,40.3968,40.4608,480,14
170,(B),40,32.6013,40.2376,40.4374,560,16
174,(B),40,31.8036,39.6623,40.17,1000,18
161,(B),41,33.6282,40.4535,40.6022,232,10
163,(B),41,33.1005,40.5667,40.576,248,10
165,(B),41,32.8263,40.4014,40.6398,352,10
167,(B),41,32.6887,40.425,40.4801,400,10
169,(B),41,32.7863,40.2313,40.3588,240,10
171,(B),41,32.1327,40.1444,40.3328,328,10
173,(B),41,31.6667,40.0496,40.2735,560,15
175,(B),41,32.0709,39.0992,40.1103,648,13
192,(B),33,32.8284,37.9275,39.156,11928,42
184,(B),35,31.8413,37.7326,39.7999,6656,34
180,(B),38,31.6867,37.2939,39.9348,2456,25
188,(B),38,30.5693,37.496,39.574,3416,26
178,(B),40,31.4393,37.541,40.0093,1176,18
182,(B),40,30.6487,36.9133,39.9939,1208,19
186,(B),40,30.0974,37.3447,39.794,1656,19
190,(B),40,29.866,37.3131,39.5454,2144,26
177,(B),41,31.389,38.0693,40.1211,600,14
179,(B),41,31.3819,36.9661,40.0141,632,13
181,(B),41,30.8008,36.6146,39.9523,608,14
183,(B),41,30.7868,37.5212,39.9006,720,15
185,(B),41,30.0924,37.4853,39.9539,760,16
187,(B),41,29.8273,37.3553,39.7535,1200,20
189,(B),41,29.4228,37.1104,39.6305,976,16
191,(B),41,29.4132,36.9965,39.2821,1232,17
208,(B),33,32.8597,38.0153,39.4536,12600,44
200,(B),35,31.7943,38.8122,39.3633,6384,35
196,(B),38,30.9377,37.8634,38.9788,3512,27
204,(B),38,30.6705,38.1756,39.1759,3000,26
194,(B),40,29.994,37.2694,38.6035,2752,25
198,(B),40,30.0151,37.6907,38.6057,2176,24
202,(B),40,29.9023,38.326,39.168,1768,22
206,(B),40,30.1745,37.8171,39.7406,1880,20
193,(B),41,29.8239,37.5629,38.7934,1496,16
195,(B),41,29.4616,37.4538,38.9203,1472,19
197,(B),41,29.754,37.6406,38.949,1520,20
199,(B),41,29.723,38.1711,39.0633,1112,17
201,(B),41,29.6819,38.3845,39.1673,1104,18
203,(B),41,29.855,38.3342,39.4077,1016,27
205,(B),41,30.0765,38.1902,39.472,880,17
207,(B),41,30.2648,37.6879,39.7485,776,32
224,(B),33,32.9564,38.307,39.8788,10040,70
216,(B),35,32.3244,38.0761,39.9181,4272,37
212,(B),38,31.2431,38.1613,39.7909,1824,23
220,(B),38,31.2062,37.9068,39.8521,1896,20
210,(B),40,30.5171,37.9233,39.7934,1600,21
214,(B),40,30.7018,38.2398,40.083,1048,18
218,(B),40,30.616,37.4651,39.7601,1464,17
222,(B),40,30.7428,37.9871,39.7656,1240,18
209,(B),41,30.4507,37.5598,39.6788,720,14
211,(B),41,30.1658,37.7493,39.9276,648,14
213,(B),41,30.6454,38.4496,39.9837,488,12
215,(B),41,30.707,37.9286,40.0836,560,12
217,(B),41,30.3964,37.9151,39.8769,664,12
219,(B),41,29.9787,37.5322,39.891,744,13
221,(B),41,30.4761,37.8046,39.8216,528,12
223,(B),41,30.874,38.1161,39.9508,568,12
240,(B),33,32.8664,37.5834,39.9182,6128,32
232,(B),35,32.3338,37.6637,40.2064,3696,45
228,(B),38,31.4758,37.291,39.9417,2240,52
236,(B),38,31.5629,37.1244,40.1373,1848,57
226,(B),40,30.3831,37.7231,39.8248,1272,50
230,(B),40,30.7743,36.8139,40.1945,1168,42
234,(B),40,30.7204,37.2687,40.1695,1288,50
238,(B),40,31.0322,36.9373,39.866,1080,47
225,(B),41,30.4978,37.9021,39.7177,704,41
227,(B),41,30.3874,37.5032,39.8604,1128,50
229,(B),41,30.0422,36.7937,40.0723,872,42
231,(B),41,30.1952,36.9771,40.2281,640,42
233,(B),41,30.3509,36.8465,40.1436,576,43
235,(B),41,30.5715,37.22,40.0592,656,44
237,(B),41,30.6631,36.8072,39.98,632,27
239,(B),41,30.8693,37.0732,39.9564,920,38
256,(B),33,33.1766,38.3571,39.9388,6352,63
248,(B),35,32.4271,38.4495,40.0606,3416,61
244,(B),38,31.5673,37.61,40.1438,1888,37
252,(B),38,31.8217,38.1105,39.9628,1504,24
242,(B),40,30.9559,36.9949,40.0488,1288,20
246,(B),40,31.412,37.7956,40.1567,936,17
250,(B),40,31.2781,38.2216,40.1683,792,17
254,(B),40,31.3951,38.2162,40.0856,840,17
241,(B),41,30.3815,36.8647,39.9382,760,12
243,(B),41,30.8602,37.2955,40.101,816,14
245,(B),41,30.8698,37.3334,40.1673,464,13
247,(B),41,31.4133,38.0033,40.1375,552,13
249,(B),41,31.0651,37.7414,40.0589,424,11
251,(B),41,30.8918,38.088,40.109,480,11
253,(B),41,30.9524,37.8241,40.1106,416,13
255,(B),41,31.4169,37.8676,40.0125,400,12
272,(B),33,32.9038,38.1812,39.8529,7640,41
264,(B),35,32.6043,37.7321,39.9216,2976,27
260,(B),38,31.9009,38.0257,39.9829,1248,23
268,(B),38,31.6587,37.4968,39.7399,1312,20
258,(B),40,31.6027,37.8325,40.0339,848,17
262,(B),40,31.732,37.9443,39.994,664,16
266,(B),40,31.5494,37.2629,39.8923,608,15
270,(B),40,31.1766,37.5627,39.7994,688,15
257,(B),41,31.7875,37.7816,40.0527,448,13
259,(B),41,31.2184,37.5884,40.1109,448,13
261,(B),41,31.6762,37.9983,39.9867,360,11
263,(B),41,31.725,37.6524,40.034,264,10
265,(B),41,31.4225,37.2712,39.948,224,9
267,(B),41,30.913,37.4674,39.878,264,9
269,(B),41,31.1306,37.5645,39.7897,280,10
271,(B),41,31.1097,37.8527,39.8261,512,12
288,(B),33,32.5099,37.557,39.6229,11848,41
280,(B),35,31.7272,37.8066,39.6901,5008,33
276,(B),38,30.9605,37.6274,39.7544,1896,20
284,(B),38,30.5251,37.1368,39.5497,3536,28
274,(B),40,30.8864,37.7162,39.8841,824,15
278,(B),40,30.522,37.6138,39.5335,960,17
282,(B),40,30.0848,37.2092,39.7711,1496,20
286,(B),40,29.6524,36.8733,39.5755,2208,23
273,(B),41,31.1034,38.0138,39.7786,592,12
275,(B),41,30.4706,37.6899,39.8594,528,12
277,(B),41,30.4847,37.5789,39.8341,496,12
279,(B),41,30.2186,37.793,39.6921,576,13
281,(B),41,29.9795,37.4281,39.8851,768,14
283,(B),41,29.6093,37.2421,39.8478,1032,16
285,(B),41,29.3361,36.9348,39.5522,1368,18
287,(B),41,29.9186,37.4257,39.6579,992,15
304,(B),33,32.789,38.3099,39.5937,10312,43
296,(B),35,31.8766,37.9761,39.7675,6072,35
292,(B),38,30.6492,37.1271,39.8788,3416,25
300,(B),38,31.272,38.0043,39.7988,2576,22
290,(B),40,29.7906,36.9912,39.7677,1880,21
294,(B),40,30.3364,37.664,39.8137,1792,19
298,(B),40,30.3633,37.4668,39.5935,1776,20
302,(B),40,30.9218,38.1305,39.8519,1624,18
289,(B),41,29.9559,37.0758,39.8629,856,15
291,(B),41,29.8083,37.0214,40.0652,1032,16
293,(B),41,29.6423,37.7985,39.9865,968,15
295,(B),41,30.4706,37.4199,39.8784,1224,15
297,(B),41,30.3001,37.6918,39.743,1256,16
299,(B),41,29.8189,37.9836,39.7438,616,11
301,(B),41,29.9486,37.9157,39.8081,848,15
303,(B),41,30.6622,38.271,39.7131,1264,15
320,(B),33,33.002,39.0193,39.9121,10136,43
312,(B),35,31.7785,38.127,39.7327,7488,35
308,(B),38,30.3755,37.6621,39.5848,3632,28
316,(B),38,30.4486,37.987,39.248,3904,28
306,(B),40,29.8193,37.4573,39.5087,1520,20
310,(B),40,29.5801,37.8578,39.9472,2032,27
314,(B),40,29.8878,37.9672,39.6924,2400,27
318,(B),40,30.1791,38.5936,39.6501,1584,20
305,(B),41,30.1625,37.81,39.5836,872,16
307,(B),41,29.6878,37.4939,39.61,944,16
309,(B),41,29.5222,37.936,39.7809,928,15
311,(B),41,29.6299,38.1885,40.1546,1152,18
313,(B),41,29.5259,38.1448,39.7025,1032,18
315,(B),41,29.3482,38.1603,39.6243,944,14
317,(B),41,29.6014,38.3329,39.4841,728,14
319,(B),41,30.1349,39.0663,39.9403,568,12
336,(B),33,33.2139,38.8192,39.8974,9792,38
328,(B),35,32.3736,39.3983,39.8463,4016,30
324,(B),38,31.4788,39.2064,39.7619,2216,25
332,(B),38,31.606,39.195,39.7782,1968,23
322,(B),40,30.9507,39.2606,39.841,1128,20
326,(B),40,30.8993,39.1517,39.5211,960,18
330,(B),40,31.4282,39.2162,40.0929,768,18
334,(B),40,30.9386,38.6591,39.8867,944,18
321,(B),41,30.8349,39.2203,40.0736,504,13
323,(B),41,30.9248,39.3805,39.9378,488,15
325,(B),41,30.614,39.0963,39.6224,448,14
327,(B),41,31.3201,39.2327,39.8536,400,12
329,(B),41,31.3535,39.3499,40.0156,344,10
331,(B),41,30.8263,39.2306,39.8748,360,10
333,(B),41,30.8777,39.2405,39.7938,432,12
335,(B),41,31.2854,38.8917,39.9102,464,12
352,(B),33,32.9373,39.0297,40.4343,8208,36
344,(B),35,32.5904,38.6291,40.255,3472,33
340,(B),38,31.7596,38.4155,40.1751,1440,20
348,(B),38,31.6518,38.6479,40.0482,1992,22
338,(B),40,31.5592,38.3953,40.128,816,16
342,(B),40,31.7656,38.6001,40.3231,584,14
346,(B),40,30.8555,38.7303,40.1507,880,19
350,(B),40,31.0817,38.9148,40.1888,992,17
337,(B),41,31.6224,38.4135,40.1638,328,11
339,(B),41,31.1646,38.2127,40.2646,480,13
341,(B),41,31.0829,38.5195,40.1915,312,11
343,(B),41,31.7282,38.6328,40.2505,312,10
345,(B),41,31.233,38.6356,40.2309,344,13
347,(B),41,30.9696,38.6947,40.1958,488,15
349,(B),41,30.7242,38.7468,40.2561,424,11
351,(B),41,31.2995,39.0894,40.4136,608,12
368,(B),33,33.5641,39.3467,40.683,7776,37
360,(B),35,32.4107,39.434,40.9958,4024,30
356,(B),38,31.4634,39.1401,40.8308,2368,25
364,(B),38,31.8776,39.4755,40.9459,1456,21
354,(B),40,30.8941,38.9798,40.8342,1160,18
358,(B),40,31.2199,39.1029,41.0266,856,18
362,(B),40,31.4586,39.1834,41.0544,728,16
366,(B),40,32.0874,39.2723,40.8135,632,15
353,(B),41,31.2524,39.0743,40.6684,448,14
355,(B),41,30.894,39.1682,40.8587,528,14
357,(B),41,30.9693,39.2013,40.9567,432,12
359,(B),41,31.0539,39.2344,41.0224,424,11
361,(B),41,31.2794,39.2647,41.0306,384,13
363,(B),41,31.2902,39.4873,40.9433,320,14
365,(B),41,31.6373,39.4173,40.863,296,14
367,(B),41,31.8575,39.3743,40.774,280,10
376,(B),35,32.599,39.448,40.5797,4232,31
372,(B),38,32.2317,39.2668,40.5843,1256,18
380,(B),38,31.5617,38.5919,40.3929,2440,24
370,(B),40,32.1876,39.4871,40.7413,552,15
374,(B),40,32.1632,39.466,40.5825,728,15
378,(B),40,31.3966,38.8674,40.5106,936,17
369,(B),41,32.4729,39.6041,40.7633,256,10
371,(B),41,31.6184,39.4633,40.6923,248,11
373,(B),41,31.3146,39.3457,40.6613,264,10
375,(B),41,31.7172,39.4793,40.5412,328,10
377,(B),41,31.0013,39.1531,40.5678,560,13
379,(B),41,30.8715,38.7791,40.3902,352,12
381,(B),41,30.6641,38.5631,40.1436,656,12
